rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
18,3xN4BIFz9spIZ0NIHTKFGC,Feather,MEG MYERS,Sorry,yes,124.00,58.00,51.00,15.00,150.00,10A,1,0.17,1.500,0.9943,0.1386,1.0457,2.5658,https://open.spotify.com/track/3xN4BIFz9spIZ0NIHTKFGC
19,22MuigRpnwPjbAtUSTexb8,Jealous Sea,MEG MYERS,Take Me To The Disco,yes,137.00,64.00,53.00,20.00,79.00,11A,1,0.17,1.500,0.9943,0.1386,1.0452,2.5646,https://open.spotify.com/track/22MuigRpnwPjbAtUSTexb8
20,6s3aITK4gMINveYvaD7qxs,Take Me To The Disco,MEG MYERS,Take Me To The Disco,yes,124.00,56.00,48.00,20.00,87.00,5A,1,0.17,1.500,0.9943,0.1386,1.0412,2.5547,https://open.spotify.com/track/6s3aITK4gMINveYvaD7qxs
21,1ShxNSFFxy1rSbnopgYpvx,Loneliest,Incubus,8,yes,159.00,57.00,64.00,38.00,138.00,12A,1,0.08,1.500,0.9974,0.1386,1.0370,2.5469,https://open.spotify.com/track/1ShxNSFFxy1rSbnopgYpvx
22,5zNZZ7TD1bsx0s7zdEHHRW,Streets of Gold,3OH!3,Streets Of Gold,yes,148.00,65.00,57.00,26.00,123.00,3A,1,0.21,1.500,0.9930,0.1386,1.0315,2.5298,https://open.spotify.com/track/5zNZZ7TD1bsx0s7zdEHHRW
23,5fvbLe4bIfFR4B5iB2EQSe,Just A Feeling,Maroon 5,Hands All Over,yes,151.00,62.00,60.00,29.00,150.00,5B,1,0.16,1.500,0.9946,0.1386,1.0274,2.5210,https://open.spotify.com/track/5fvbLe4bIfFR4B5iB2EQSe
24,7yT4NJt5rgmVoMJMGPULcj,Backseat,Balu Brigada,Backseat,yes,138.00,81.00,35.00,22.00,126.00,3B,1,0.18,1.500,0.9941,0.1386,1.0253,2.5155,https://open.spotify.com/track/7yT4NJt5rgmVoMJMGPULcj
25,5fpZBXuorlUCC9SP6LVuw3,West Coast,Lana Del Rey,Ultraviolence,yes,158.00,59.00,53.00,46.00,123.00,11A,1,1.26,1.500,0.9598,0.1386,1.0299,2.5004,https://open.spotify.com/track/5fpZBXuorlUCC9SP6LVuw3
26,54g63GAn77x9NcjiLzy7cW,Queen Of Spades,Styx,Pieces Of Eight,yes,83.00,45.00,26.00,12.00,135.00,12A,1,1.27,1.500,0.9595,0.1386,1.0298,2.4999,https://open.spotify.com/track/54g63GAn77x9NcjiLzy7cW
27,5gmJlzd7GyggoqLedD7vKV,Hollow,"Flume,Emma Louise",Palaces,yes,161.00,58.00,53.00,50.00,105.00,4A,1,1.27,1.500,0.9593,0.1386,1.0290,2.4977,https://open.spotify.com/track/5gmJlzd7GyggoqLedD7vKV
