rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
21,5lZJxYTRlmSP7DTvcHRfbE,Illusion,Foreign Air,Good Morning Stranger,yes,171.00,59.00,56.00,56.00,84.00,1A,1,1.29,1.500,0.9587,0.1386,1.0393,2.5223,https://open.spotify.com/track/5lZJxYTRlmSP7DTvcHRfbE
22,0QVqdSLCPskZiJpcYQTgvi,Family,Badflower,Family,yes,169.00,67.00,61.00,41.00,150.00,2A,1,1.28,1.500,0.9592,0.1386,1.0367,2.5163,https://open.spotify.com/track/0QVqdSLCPskZiJpcYQTgvi
23,5l8ylBEHHYL62w5HfjB3JF,Dang,Rainbow Kitten Surprise,bones,yes,181.00,94.00,55.00,32.00,148.00,12B,1,1.26,1.500,0.9598,0.1386,1.0329,2.5078,https://open.spotify.com/track/5l8ylBEHHYL62w5HfjB3JF
24,6kkeV4q6GJscwNcpdjwApo,Black Out Days - Leo Justi Remix,"Phantogram,Danny Brown,Leo Justi",Black Out Days (Leo Justi Remix),yes,172.00,86.00,47.00,39.00,194.00,9B,1,1.30,1.500,0.9584,0.1386,1.0298,2.4991,https://open.spotify.com/track/6kkeV4q6GJscwNcpdjwApo
25,2m17BTWlZq0wtS9cpJsCfM,Kill Of The Night,Gin Wigmore,Gravel & Wine,yes,177.00,70.00,51.00,56.00,126.00,8B,1,0.21,1.500,0.9930,0.1386,1.0161,2.4923,https://open.spotify.com/track/2m17BTWlZq0wtS9cpJsCfM
26,2YB7LLj8xZcd4pDs0UBM6i,Don't Speak,Culture Wars,Don't Speak,yes,177.00,90.00,40.00,47.00,154.00,1A,1,1.28,1.500,0.9590,0.1386,1.0254,2.4889,https://open.spotify.com/track/2YB7LLj8xZcd4pDs0UBM6i
27,1FqozwZRQt0hBBJX6e48j7,Meathook,The Cure,Three Imaginary Boys,yes,171.00,46.00,64.00,61.00,166.00,8B,1,1.29,1.500,0.9589,0.1386,1.0231,2.4831,https://open.spotify.com/track/1FqozwZRQt0hBBJX6e48j7
28,2XTFxS6tjPzRslHheCtAJf,SUGAR,Elba Rose,SUGAR,yes,171.00,54.00,70.00,47.00,164.00,4A,1,1.29,1.500,0.9586,0.1386,1.0221,2.4807,https://open.spotify.com/track/2XTFxS6tjPzRslHheCtAJf
29,3LirkthakHFNj98PIO9oan,Mission,Catfish and the Bottlemen,The Balance,yes,165.00,84.00,40.00,41.00,128.00,1A,1,1.26,1.500,0.9597,0.1386,1.0194,2.4747,https://open.spotify.com/track/3LirkthakHFNj98PIO9oan
30,4eTIe5eqds88bA9ua6p5p6,Fine Again,Seether,Disclaimer,yes,166.00,86.00,44.00,36.00,176.00,11A,1,1.28,1.500,0.9591,0.1386,1.0175,2.4699,https://open.spotify.com/track/4eTIe5eqds88bA9ua6p5p6
31,3adprsGoZuParw5pyhhLCc,Trying To Be Cool,Phoenix,Bankrupt!,yes,173.00,76.00,48.00,49.00,114.00,8A,1,0.21,1.500,0.9931,0.1386,0.9998,2.4522,https://open.spotify.com/track/3adprsGoZuParw5pyhhLCc
32,6fTgbkBiMITtHUmik95ClX,MakeDamnSure,Taking Back Sunday,Louder Now (Deluxe Edition),yes,182.00,84.00,55.00,43.00,140.00,2B,1,1.25,1.500,0.9600,0.1386,1.0097,2.4515,https://open.spotify.com/track/6fTgbkBiMITtHUmik95ClX
33,5iRv1aH4eNai45KfhjtJ6n,When the Love is Gone,Des Rocs,When the Love is Gone,yes,172.00,81.00,44.00,47.00,141.00,9A,1,1.28,1.500,0.9592,0.1386,1.0082,2.4471,https://open.spotify.com/track/5iRv1aH4eNai45KfhjtJ6n
34,2mNGL7mZILSqZHxGboJaO9,COMË N GO,Yeat,DANGEROUS SUMMER,yes,179.00,59.00,90.00,30.00,145.00,8A,1,1.27,1.500,0.9594,0.1386,1.0068,2.4440,https://open.spotify.com/track/2mNGL7mZILSqZHxGboJaO9
35,00aEvruq9NQRUzYMn1rEPs,The Therapist,Foreign Air,The Therapist,yes,182.00,85.00,60.00,37.00,92.00,9A,1,1.29,1.500,0.9587,0.1386,1.0040,2.4367,https://open.spotify.com/track/00aEvruq9NQRUzYMn1rEPs
36,6SkGAtFv38tQjouh7UeNpu,Where The Silence Goes,LEAP,One Million Pieces,yes,178.00,91.00,47.00,40.00,170.00,9B,1,1.29,1.500,0.9587,0.1386,0.9957,2.4166,https://open.spotify.com/track/6SkGAtFv38tQjouh7UeNpu
37,0FaTDETtzCRxYIf3noMnsF,Dandelion,Daughter,Stereo Mind Game,yes,178.00,63.00,55.00,60.00,158.00,10A,1,1.29,1.500,0.9586,0.1386,0.9940,2.4124,https://open.spotify.com/track/0FaTDETtzCRxYIf3noMnsF
38,2UdCAgl9eX9VevTzo4Rbyn,The Death Of Me,MEG MYERS,Take Me To The Disco,yes,184.00,87.00,56.00,41.00,140.00,4B,1,0.18,1.500,0.9942,0.1386,0.9773,2.3978,https://open.spotify.com/track/2UdCAgl9eX9VevTzo4Rbyn
39,35BspUdHJEuqWx6aCzMG5U,R.I.P,3OH!3,Streets Of Gold,yes,175.00,70.00,66.00,39.00,130.00,6B,1,1.24,1.500,0.9604,0.1386,0.9873,2.3975,https://open.spotify.com/track/35BspUdHJEuqWx6aCzMG5U
40,21slhimb1blAmvpjq0l8rh,Conversation,Catfish and the Bottlemen,The Balance,yes,174.00,89.00,50.00,35.00,99.00,1B,1,1.26,1.500,0.9598,0.1386,0.9858,2.3933,https://open.spotify.com/track/21slhimb1blAmvpjq0l8rh
41,4nSrvWuCRK5yzY4K5iksAr,Play Nice,Pacific Air,Stop Talking (Spotify Exclusive),yes,175.00,73.00,61.00,41.00,109.00,4B,1,1.29,1.500,0.9587,0.1386,0.9861,2.3931,https://open.spotify.com/track/4nSrvWuCRK5yzY4K5iksAr
42,1735xgk2J8CHCGY2LS1HM6,Private,The Neighbourhood,Private,yes,175.00,58.00,73.00,44.00,124.00,7A,1,1.26,1.500,0.9596,0.1386,0.9827,2.3857,https://open.spotify.com/track/1735xgk2J8CHCGY2LS1HM6
43,1Yi8XPnCPoimWwqxwm3uz9,Longshot,Catfish and the Bottlemen,Longshot,yes,172.00,77.00,48.00,47.00,103.00,9B,1,1.26,1.500,0.9598,0.1386,0.9803,2.3800,https://open.spotify.com/track/1Yi8XPnCPoimWwqxwm3uz9
44,5GI8QlM6RlyZjegB9CFk7U,Jungle (Radio Edit),Tash Sultana,Jungle (Radio Edit),yes,180.00,72.00,54.00,54.00,146.00,12A,1,0.17,1.500,0.9945,0.1386,0.9675,2.3740,https://open.spotify.com/track/5GI8QlM6RlyZjegB9CFk7U
45,7DkTneByAopqOjXFG6XlZK,No Room in Frame,Death Cab for Cutie,Kintsugi,yes,180.00,72.00,64.00,44.00,125.00,12B,1,0.20,1.500,0.9935,0.1386,0.9663,2.3705,https://open.spotify.com/track/7DkTneByAopqOjXFG6XlZK
46,3Oiauiojgokw9vWQvFmEoI,Eyes on Fire - Zeds Dead Remix,"Blue Foundation,Zeds Dead",Eyes on Fire (Zeds Dead Remix) [Zed Dead Remix],yes,166.00,73.00,61.00,32.00,145.00,1B,1,0.21,1.500,0.9930,0.1386,0.9652,2.3672,https://open.spotify.com/track/3Oiauiojgokw9vWQvFmEoI
