packet_index,slot,seed_track_id,track_id,tier,name,artists,album,bpm,mood_score,key_step,distance,spotify_url
19,3,34d7sGX6WUqq8f04e7CSNF,6lwZ1QSjco5ggPpKDXalNf,maybe,Word Of Mouth - Audiotree Live Version,"Shakey Graves,Audiotree",Shakey Graves on Audiotree Live (Session #1),121.000,107.000,1,1.106127,https://open.spotify.com/track/6lwZ1QSjco5ggPpKDXalNf
19,4,34d7sGX6WUqq8f04e7CSNF,1AuokT6OG2XFyDp7kuRGJx,yes,32 Days,Numblife,32 Days,164.000,193.000,1,1.338661,https://open.spotify.com/track/1AuokT6OG2XFyDp7kuRGJx
20,1,1JcIXOir94YUYBt2cXTzn2,1JcIXOir94YUYBt2cXTzn2,yes,Growing Sideways,Noah Kahan,Stick Season,178.000,137.000,1,0.000000,https://open.spotify.com/track/1JcIXOir94YUYBt2cXTzn2
20,2,1JcIXOir94YUYBt2cXTzn2,7mjSHL2Eb0kAwiKbvNNyD9,on_repeat,Wild World,Yusuf / Cat Stevens,Tea For The Tillerman (Remastered 2020),153.000,159.000,1,0.931456,https://open.spotify.com/track/7mjSHL2Eb0kAwiKbvNNyD9
20,3,1JcIXOir94YUYBt2cXTzn2,08mG3Y1vljYA6bvDt4Wqkj,on_repeat,Back In Black,AC/DC,Back In Black,188.000,177.000,2,1.051160,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj
20,4,1JcIXOir94YUYBt2cXTzn2,22YvUcGzVLjtK3u2fSMAZr,maybe,Need To,Gavin Adcock,Own Worst Enemy,146.000,170.000,1,1.252905,https://open.spotify.com/track/22YvUcGzVLjtK3u2fSMAZr
21,1,261j28Hxs9xzmUcrYvnY92,261j28Hxs9xzmUcrYvnY92,yes,Unconditional,Matt Maeson,The Hearse,116.000,119.000,1,0.000000,https://open.spotify.com/track/261j28Hxs9xzmUcrYvnY92
21,2,261j28Hxs9xzmUcrYvnY92,2AEW4oatiphhXuGRteMLqx,yes,Stealin',Uriah Heep,Sweet Freedom (Expanded Version),118.000,89.000,1,0.633436,https://open.spotify.com/track/2AEW4oatiphhXuGRteMLqx
21,3,261j28Hxs9xzmUcrYvnY92,4VqPOruhp5EdPBeR92t6lQ,maybe,Uprising,Muse,The Resistance,128.000,192.000,1,1.583702,https://open.spotify.com/track/4VqPOruhp5EdPBeR92t6lQ
22,1,02eD9ymfJOJOhM97HYp5R9,02eD9ymfJOJOhM97HYp5R9,on_repeat,The House That Built Me,Miranda Lambert,Revolution,81.000,104.000,1,0.000000,https://open.spotify.com/track/02eD9ymfJOJOhM97HYp5R9
22,2,02eD9ymfJOJOhM97HYp5R9,4y5lApjfksaQ35CdhVjvL5,yes,Sunoco,X Ambassadors,Townie,120.000,109.000,1,1.227520,https://open.spotify.com/track/4y5lApjfksaQ35CdhVjvL5
22,3,02eD9ymfJOJOhM97HYp5R9,5TgEJ62DOzBpGxZ7WRsrqb,maybe,Work Song,Hozier,Hozier (Expanded Edition),121.000,115.000,1,1.275822,https://open.spotify.com/track/5TgEJ62DOzBpGxZ7WRsrqb
22,4,02eD9ymfJOJOhM97HYp5R9,39Rqt9KEOpsBG5T2wvy0np,maybe,Feel Good,Matt Maeson,Bank On The Funeral,124.000,112.000,1,1.359000,https://open.spotify.com/track/39Rqt9KEOpsBG5T2wvy0np
23,1,0fN8Symx2jOXpOAqrW6otf,0fN8Symx2jOXpOAqrW6otf,yes,Feels Like Nothing,Foreign Air,Smile,128.000,113.000,1,0.000000,https://open.spotify.com/track/0fN8Symx2jOXpOAqrW6otf
23,2,0fN8Symx2jOXpOAqrW6otf,1nE1VjP943pIuFdNWcLgYM,yes,Feel Again - With Heartbeats,OneRepublic,Native,140.000,165.000,1,1.224786,https://open.spotify.com/track/1nE1VjP943pIuFdNWcLgYM
23,3,0fN8Symx2jOXpOAqrW6otf,4yoMMiRT5sXtIbSHKQfRqi,yes,Go Easy,Matt Maeson,Bank On The Funeral,86.000,139.000,1,1.399710,https://open.spotify.com/track/4yoMMiRT5sXtIbSHKQfRqi
23,4,0fN8Symx2jOXpOAqrW6otf,1735xgk2J8CHCGY2LS1HM6,maybe,Private,The Neighbourhood,Private,124.000,175.000,1,1.399835,https://open.spotify.com/track/1735xgk2J8CHCGY2LS1HM6
24,1,2YB7LLj8xZcd4pDs0UBM6i,2YB7LLj8xZcd4pDs0UBM6i,yes,Don't Speak,Culture Wars,Don't Speak,154.000,177.000,1,0.000000,https://open.spotify.com/track/2YB7LLj8xZcd4pDs0UBM6i
24,2,2YB7LLj8xZcd4pDs0UBM6i,2N4viTG9njqCa4c46YyWs1,maybe,Be With You,Enrique Iglesias,Enrique,122.000,209.000,1,1.150117,https://open.spotify.com/track/2N4viTG9njqCa4c46YyWs1
24,3,2YB7LLj8xZcd4pDs0UBM6i,6voIJ7OWwRabSZDC77D5Hp,yes,Trouble’s Coming,Royal Blood,Typhoons,112.000,228.000,1,1.634855,https://open.spotify.com/track/6voIJ7OWwRabSZDC77D5Hp
25,1,4wFXTN7ADsBxIyJfzvaHGf,4wFXTN7ADsBxIyJfzvaHGf,yes,What's Wrong,Foreign Air,Smile,176.000,133.000,1,0.000000,https://open.spotify.com/track/4wFXTN7ADsBxIyJfzvaHGf
25,2,4wFXTN7ADsBxIyJfzvaHGf,5Z7bkW3dsu8jLdv3dEGxly,maybe,Nice 'n' Easy - Remastered 1999,Frank Sinatra,Nice 'n' Easy (Remastered / Expanded Edition),109.000,120.000,2,1.851626,https://open.spotify.com/track/5Z7bkW3dsu8jLdv3dEGxly
26,1,3BBESx22HOSrLjHjnrieP9,3BBESx22HOSrLjHjnrieP9,yes,Class Reunion,Peyton & His Peers,Legacy,153.000,231.000,1,0.000000,https://open.spotify.com/track/3BBESx22HOSrLjHjnrieP9
27,1,0JfAMd3xTqm7ZYhBmQjYzt,0JfAMd3xTqm7ZYhBmQjYzt,maybe,Do You Know? (The Ping Pong Song),Enrique Iglesias,Insomniac,115.000,222.000,1,0.000000,https://open.spotify.com/track/0JfAMd3xTqm7ZYhBmQjYzt
27,2,0JfAMd3xTqm7ZYhBmQjYzt,7Eb9i3xmiLuY5MiY6AhzzL,maybe,Last One To Know,Gavin Adcock,Last One To Know,102.000,202.000,1,0.531087,https://open.spotify.com/track/7Eb9i3xmiLuY5MiY6AhzzL
27,3,0JfAMd3xTqm7ZYhBmQjYzt,15lxyyfUIcs7Ztuilbl01M,maybe,Tribulation,Matt Maeson,Who Killed Matt Maeson,155.000,144.000,1,1.920668,https://open.spotify.com/track/15lxyyfUIcs7Ztuilbl01M
28,1,11xzzqo9lMGxd7z1UfMHcv,11xzzqo9lMGxd7z1UfMHcv,maybe,Gold in My Hair,Black Math,New Game,188.000,236.000,1,0.000000,https://open.spotify.com/track/11xzzqo9lMGxd7z1UfMHcv
28,2,11xzzqo9lMGxd7z1UfMHcv,2PnlsTsOTLE5jnBnNe2K0A,maybe,The Emptiness Machine,Linkin Park,The Emptiness Machine,184.000,215.000,2,0.622195,https://open.spotify.com/track/2PnlsTsOTLE5jnBnNe2K0A
28,3,11xzzqo9lMGxd7z1UfMHcv,1lbXEepatjRVjoG8pZMtdp,maybe,Dreams,Fleetwood Mac,Greatest Hits,120.000,195.000,1,1.680174,https://open.spotify.com/track/1lbXEepatjRVjoG8pZMtdp
29,1,4t86vQyqJuck4tAn9eIzHH,4t86vQyqJuck4tAn9eIzHH,maybe,Bank On The Funeral,Matt Maeson,Bank On The Funeral,177.000,78.000,1,0.000000,https://open.spotify.com/track/4t86vQyqJuck4tAn9eIzHH
30,1,00aEvruq9NQRUzYMn1rEPs,00aEvruq9NQRUzYMn1rEPs,maybe,The Therapist,Foreign Air,The Therapist,92.000,182.000,1,0.000000,https://open.spotify.com/track/00aEvruq9NQRUzYMn1rEPs
31,1,2B0abNU9B6RcGaIY6jaQYY,2B0abNU9B6RcGaIY6jaQYY,maybe,Light A Fire,Gavin Adcock,Own Worst Enemy,75.000,138.000,1,0.000000,https://open.spotify.com/track/2B0abNU9B6RcGaIY6jaQYY
