rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
23,3BBESx22HOSrLjHjnrieP9,Class Reunion,Peyton & His Peers,Legacy,yes,231.00,84.00,57.00,90.00,153.00,11B,0,13.99,1.500,0.6820,0.0000,0.9713,1.9538,https://open.spotify.com/track/3BBESx22HOSrLjHjnrieP9
24,0p1hBWPaSxUDTSa32PyhnU,She Calls Me Back,"Noah Kahan,Kacey Musgraves",She Calls Me Back (with Kacey Musgraves),yes,206.00,68.00,75.00,63.00,128.00,1B,0,13.99,1.500,0.6819,0.0000,0.9695,1.9501,https://open.spotify.com/track/0p1hBWPaSxUDTSa32PyhnU
25,5DiXcVovI0FcY2s0icWWUu,Mr. Jones,Counting Crows,August And Everything After,yes,213.00,82.00,58.00,73.00,142.00,8B,0,14.03,1.500,0.6814,0.0000,0.9596,1.9298,https://open.spotify.com/track/5DiXcVovI0FcY2s0icWWUu
26,2CxUw9KnY5VHugLbBZiCAF,I'm Not Really Here,X Ambassadors,Townies,yes,237.00,83.00,71.00,83.00,109.00,11B,0,14.03,1.500,0.6813,0.0000,0.9578,1.9261,https://open.spotify.com/track/2CxUw9KnY5VHugLbBZiCAF
27,2skmOCFU64Bg7Ytkgwliwe,All For You,Sister Hazel,...Somewhere More Familiar,yes,202.00,75.00,63.00,64.00,137.00,4B,0,13.99,1.500,0.6820,0.0000,0.9516,1.9140,https://open.spotify.com/track/2skmOCFU64Bg7Ytkgwliwe
28,2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,Linkin Park,The Emptiness Machine,maybe,215.00,87.00,47.00,81.00,184.00,9B,1,3.16,0.600,0.9048,0.1386,0.9514,0.9082,https://open.spotify.com/track/2PnlsTsOTLE5jnBnNe2K0A
29,11xzzqo9lMGxd7z1UfMHcv,Gold in My Hair,Black Math,New Game,maybe,236.00,86.00,61.00,89.00,188.00,7B,0,14.05,0.600,0.6810,0.0000,1.0343,0.8319,https://open.spotify.com/track/11xzzqo9lMGxd7z1UfMHcv
30,2N4viTG9njqCa4c46YyWs1,Be With You,Enrique Iglesias,Enrique,maybe,209.00,87.00,68.00,54.00,122.00,12A,0,17.00,0.600,0.6384,0.0000,1.0453,0.8273,https://open.spotify.com/track/2N4viTG9njqCa4c46YyWs1
31,0sHW1jXe6Sou3437gJQNGA,Space Bound,Eminem,Recovery,maybe,206.00,89.00,67.00,50.00,142.00,8B,0,17.00,0.600,0.6383,0.0000,1.0038,0.7945,https://open.spotify.com/track/0sHW1jXe6Sou3437gJQNGA
32,7Eb9i3xmiLuY5MiY6AhzzL,Last One To Know,Gavin Adcock,Last One To Know,maybe,202.00,66.00,78.00,58.00,102.00,4B,0,14.04,0.600,0.6813,0.0000,0.9823,0.7901,https://open.spotify.com/track/7Eb9i3xmiLuY5MiY6AhzzL
33,4VqPOruhp5EdPBeR92t6lQ,Uprising,Muse,The Resistance,maybe,192.00,91.00,60.00,41.00,128.00,10B,0,14.06,0.600,0.6809,0.0000,0.9748,0.7840,https://open.spotify.com/track/4VqPOruhp5EdPBeR92t6lQ
34,1lbXEepatjRVjoG8pZMtdp,Dreams,Fleetwood Mac,Greatest Hits,maybe,195.00,34.00,82.00,79.00,120.00,8B,0,14.01,0.600,0.6816,0.0000,0.9594,0.7719,https://open.spotify.com/track/1lbXEepatjRVjoG8pZMtdp
35,6HojDglE8E3EA7SbTLE8VF,Love To See You Cry,Enrique Iglesias,Escape,maybe,223.00,80.00,75.00,68.00,123.00,3A,0,17.00,0.600,0.6383,0.0000,0.9649,0.7637,https://open.spotify.com/track/6HojDglE8E3EA7SbTLE8VF
36,0JfAMd3xTqm7ZYhBmQjYzt,Do You Know? (The Ping Pong Song),Enrique Iglesias,Insomniac,maybe,222.00,76.00,76.00,70.00,115.00,4B,0,17.00,0.600,0.6384,0.0000,0.9524,0.7539,https://open.spotify.com/track/0JfAMd3xTqm7ZYhBmQjYzt
