#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
75,"I'm Not Really Here","X Ambassadors",109,11B,83,2025-12-10,03:18,19,"","Townies",2024-10-18,71,1,62,83,0,30,-6,A Major,4,2CxUw9KnY5VHugLbBZiCAF,USA2P2352165,yes
76,"Heard It in a Love Song","The Marshall Tucker Band",153,10B,80,2026-03-11,04:57,68,"southern rock, country rock, classic rock","Carolina Dreams",1977-01-01,55,17,0,68,0,10,-7,D Major,4,6PoHD6eS4Ux7Hx66Q3RYOb,USSE90320730,no
77,"One Headlight","The Wallflowers",108,10B,54,2026-06-15,05:12,78,"","Bringing Down The Horse",1996-01-01,70,0,1,75,0,0,-9,D Major,4,0z1b34WikhOH9ZxU8QDWcv,USIR19600462,no
78,"Dreams - Remastered 2026","The Cranberries",128,12B,85,2026-06-15,04:33,81,"","Everybody Else Is Doing It, So Why Can't We? (Remastered 2026)",1993-00-00,55,0,1,42,0,60,-7,E Major,4,458JkK5eJhh4C4s6nTuz7g,USIR29300080,no
79,"She Calls Me Back (with Kacey Musgraves)","Noah Kahan,Kacey Musgraves",128,1B,68,2026-06-15,04:03,63,"","She Calls Me Back (with Kacey Musgraves)",2023-10-06,75,6,0,63,0,30,-6,B Major,4,0p1hBWPaSxUDTSa32PyhnU,USUM72314329,yes
80,"All For You","Sister Hazel",137,4B,75,2026-06-15,03:38,70,"","...Somewhere More Familiar",1997-02-25,63,3,0,64,0,0,-6,G#/A♭ Major,4,2skmOCFU64Bg7Ytkgwliwe,USUR10000469,no
81,"The House That Built Me","Miranda Lambert",81,7B,30,2026-06-15,03:56,68,"country","Revolution",2009-09-24,53,58,0,21,0,10,-8,F Major,4,02eD9ymfJOJOhM97HYp5R9,USG4X0900074,no
82,"Nice 'n' Easy - Remastered 1999","Frank Sinatra",109,8B,15,2026-06-15,02:45,60,"christmas, big band, adult standards, swing music, jazz, vocal jazz","Nice 'n' Easy (Remastered / Expanded Edition)",1960-07,54,77,0,51,0,10,-15,C Major,4,5Z7bkW3dsu8jLdv3dEGxly,USCA29900868,no
83,"Legacy","Peyton & His Peers",140,10B,76,2026-06-15,03:32,0,"","Legacy",2021-11-01,50,14,0,66,0,20,-6,D Major,4,1GIyqBf1T1IjaNAOtK9cYe,usl4q2164795,no
84,"Class Reunion","Peyton & His Peers",153,11B,84,2026-06-15,04:04,0,"","Legacy",2021-11-01,57,17,0,90,0,0,-6,A Major,4,3BBESx22HOSrLjHjnrieP9,usl4q2164800,no
85,"If I Told You","Darius Rucker",84,11B,64,2026-06-15,03:32,61,"country","When Was The Last Time",2017-10-20,54,35,0,32,0,30,-7,A Major,4,4Az17HfqonKSWNsaLgTBeK,USUM71605782,no
86,"El Perdón (with Enrique Iglesias)","Nicky Jam,Enrique Iglesias",180,4B,69,2026-06-15,03:25,81,"reggaeton, latin, latin pop","Fénix",2017-01-20,63,44,0,66,0,10,-6,G#/A♭ Major,4,7qCAVkHWZkF44OzOUKf8Cr,USSD11500005,no
87,"El Perdón - Forgiveness","Nicky Jam,Enrique Iglesias",90,4B,72,2026-06-15,03:26,51,"reggaeton, latin, latin pop","Fénix",2017-01-20,74,26,0,65,0,0,-4,G#/A♭ Major,4,7hOfyNuj2dLc0HAEYVDIYS,USSD11500186,no
88,"I Will Wait","Mumford & Sons",131,3B,76,2026-06-15,04:36,75,"folk, indie folk, folk rock","Babel (Deluxe Version)",2012-09-21,48,1,1,45,0,30,-5,C♯/D♭ Major,4,3Bclyko7WmwM2oGmKj8sue,GBUM71204769,no
