#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
25,"Twisted Tongue","Matt Maeson",98,3A,53,2026-08-14,02:55,42,"","Never Had to Leave",2022-08-26,62,16,0,40,0,10,-8,A#/B♭ Minor,4,2trnc1lwUKP0oV3Y6e0Ls8,USAT22207430,no
26,"Problems","Matt Maeson",126,6B,65,2026-08-14,03:46,51,"","Never Had to Leave",2022-08-26,63,37,0,59,0,50,-5,A#/B♭ Major,4,7pTFB8hCQ6TdXojDKPh67O,USAT22207428,no
27,"Sanctified","Matt Maeson",112,11B,47,2026-08-14,03:31,44,"","Never Had to Leave",2022-08-26,65,54,0,32,0,10,-9,A Major,4,7ySzpV1ZDSLe6C9KhcKr1C,USAT22207429,yes
28,"A Memory Away","Matt Maeson",164,9B,51,2026-08-14,03:52,41,"","Never Had to Leave",2022-08-26,59,22,0,26,0,0,-7,G Major,3,7GsPODZDKmvL7BCq4YWqn6,USAT22206663,no
29,"My Hand/Lawless Dream","Matt Maeson",113,6B,56,2026-08-14,05:42,37,"","Never Had to Leave",2022-08-26,56,8,0,25,0,10,-7,A#/B♭ Major,4,72HVBW3f3TF2p8aCP1h1Nu,USAT22207426,no
30,"Candy Land","Jonah Kagen",92,3B,62,2026-08-14,04:08,47,"folk pop, pop singer-songwriter","Sunflowers and Leather",2025-09-05,53,51,0,59,0,0,-7,C♯/D♭ Major,4,2KkwCBlsNPZEoqIpsJsEr0,USAR12500178,yes
31,"The Reaper","Jonah Kagen",95,6A,67,2026-08-14,03:08,57,"folk pop, pop singer-songwriter","Sunflowers and Leather",2025-09-05,45,33,0,41,0,20,-6,G Minor,4,4bKjRuubNLcTYBiai2v5bs,USAR12500013,yes
32,"You Again","Jonah Kagen",120,3B,64,2026-08-14,03:14,58,"folk pop, pop singer-songwriter","Sunflowers and Leather",2025-09-05,55,48,0,51,0,10,-6,C♯/D♭ Major,4,5B4bDsnAtPF1gb30IFQhgw,USSM12501525,no
33,"Light in the End","Jonah Kagen",124,3B,27,2026-08-14,02:35,47,"folk pop, pop singer-songwriter","Sunflowers and Leather",2025-09-05,53,58,0,23,0,10,-11,C♯/D♭ Major,3,7mg63J9IrpprYEueE2L2Z0,USAR12500184,no
34,"Burn Me","Jonah Kagen,Sam Barber",132,9A,56,2026-08-14,03:34,65,"folk pop, pop singer-songwriter, country","Sunflowers and Leather",2025-09-05,59,35,0,18,0,10,-7,E Minor,4,5RNFqRIRnenJmBJD2MuHBh,USAR12500127,yes
35,"Stick Season","Noah Kahan",118,11B,50,2026-08-14,03:02,88,"","Stick Season",2022-10-14,66,80,0,80,0,10,-7,A Major,4,0mflMxspEfB0VbI1kyLiAv,USUM72212470,no
36,"Homesick","Noah Kahan",170,2B,62,2026-08-14,03:14,76,"","Stick Season",2022-10-14,51,3,0,41,0,30,-7,F#/G♭ Major,4,0jkzxxDG8z3Y5OmfNl1VM0,USUM72217180,yes
37,"Northern Attitude","Noah Kahan",121,5B,63,2026-08-14,04:27,83,"","Stick Season",2022-10-14,52,12,0,32,0,10,-8,D#/E♭ Major,4,4O2rRsoSPb5aN7N3tG6Y3v,USUM72217167,yes
38,"Growing Sideways","Noah Kahan",178,9B,29,2026-08-14,04:15,71,"","Stick Season",2022-10-14,52,74,0,56,0,10,-9,G Major,4,1JcIXOir94YUYBt2cXTzn2,USUM72217176,yes
39,"No Complaints","Noah Kahan",120,3B,21,2026-08-14,03:25,71,"","Stick Season (We'll All Be Here Forever)",2023-06-09,69,57,0,32,0,0,-11,C♯/D♭ Major,3,52DudaVZObvmBgEX6IObHX,USUM72307684,no
40,"Glue Myself Shut","Noah Kahan",73,3B,31,2026-08-14,03:16,73,"","Cape Elizabeth",2020-05-01,62,88,0,70,0,30,-8,C♯/D♭ Major,4,67q8yivDoOPXCYodi1zTix,USUM72009075,yes
41,"Falling","Florence + The Machine",113,7A,33,2026-08-14,03:32,41,"baroque pop","Lungs (Deluxe Edition)",2009-00-00,43,79,20,8,0,10,-9,D Minor,4,3bENrkfntz1ugrsi8yzT9C,GBUM70905783,no
42,"Heavy In Your Arms","Florence + The Machine",80,8A,80,2026-08-14,04:45,51,"baroque pop","Lungs (Deluxe Edition)",2009-00-00,32,51,0,30,0,0,-6,A Minor,4,3YZ4ccGSysav9mPqbni9JU,GBUM71024262,no
43,"Bird Song","Florence + The Machine",120,8B,53,2026-08-14,02:55,48,"baroque pop","Lungs (Deluxe Edition)",2009-00-00,46,75,0,25,0,10,-7,C Major,4,6EfZCB2wudriyD1vDjuAZ9,GBUM70905781,no
44,"Hospital Beds","Florence + The Machine",96,10A,46,2026-08-14,02:14,35,"baroque pop","Lungs (Deluxe Edition)",2009-00-00,67,40,0,31,0,30,-5,B Minor,4,32CpKhS5v5SFgfbXmdpsi7,GBUM70900208,no
45,"Ditmas","Mumford & Sons",144,8B,73,2026-08-14,03:38,61,"folk, indie folk, folk rock","Wilder Mind (Deluxe)",2015-05-04,53,1,1,52,0,0,-7,C Major,4,0cIQEeA1OD5XzUjuplVfiT,GBUM71500533,no
46,"Wilder Mind","Mumford & Sons",158,8A,69,2026-08-14,04:38,56,"folk, indie folk, folk rock","Wilder Mind (Deluxe)",2015-05-04,52,14,16,61,0,10,-10,A Minor,4,1NawFSKWvqroK6KbHavP7A,GBUM71500541,no
47,"Snake Eyes","Mumford & Sons",180,8A,64,2026-08-14,04:08,53,"folk, indie folk, folk rock","Wilder Mind (Deluxe)",2015-05-04,37,1,34,20,0,0,-9,A Minor,4,6BM4A4rhnKIxG61jN4A2jC,GBUM71500538,no
48,"Sunoco","X Ambassadors",120,7B,49,2026-08-14,04:33,22,"","Townies",2024-10-18,49,77,0,11,0,10,-8,F Major,4,05zzpRAJpM1gY21d49AEZC,USA2P2352162,no
49,"Smoke On the Highway","X Ambassadors",78,9B,67,2026-08-14,04:13,23,"","Townies",2024-10-18,33,68,0,27,0,0,-6,G Major,4,7JvNsKLxsUTGj7hR0Hkw2Z,USA2P2352163,no
50,"I'm Not Really Here","X Ambassadors",109,11B,83,2026-08-14,03:18,18,"","Townies",2024-10-18,71,1,62,83,0,30,-6,A Major,4,2CxUw9KnY5VHugLbBZiCAF,USA2P2352165,yes
51,"Your Biggest Fan","Never Shout Never",125,8B,31,2026-08-14,03:30,46,"emo","Me and My Uke",2009-11-03,74,94,0,53,0,10,-7,C Major,4,0L3di3gB5KlamEABLJK8KK,USSCU0800159,no
52,"Bigcitydreams","Never Shout Never",68,8B,53,2026-08-14,03:13,54,"emo","The Yippee EP",2009-07-03,61,31,0,65,0,30,-6,C Major,4,30FGIXPjm30vX2KqbrIO2q,US4K30800108,no
53,"Heregoesnothin","Never Shout Never",170,5B,98,2026-08-14,03:26,49,"emo","The Yippee EP",2009-07-03,49,13,0,26,40,10,-5,D#/E♭ Major,4,4eaLY5pOPsgKzs37woeTRz,US4K30800107,no
54,"Dirty Love","Mt. Joy",125,4A,44,2026-08-14,02:44,71,"","Mt. Joy",2018-03-02,77,60,0,66,0,10,-8,F Minor,4,6bON0csSf7G4LDsUrBwQ54,USDMG1885204,no
55,"Devil's Advocate","The Neighbourhood",98,10A,68,2026-08-14,03:06,71,"","Chip Chrome & The Mono-Tones",2020-09-25,66,3,14,86,0,50,-8,B Minor,4,4XfI7M5gLwEY84gYiH4RDD,USSM12003781,no
56,"Private","The Neighbourhood",124,7A,58,2026-08-14,03:49,57,"","(((((ultraSOUND)))))+",2026-02-20,73,1,73,45,0,0,-6,D Minor,4,6ig9uWIoavLn0adzuqtqJz,USWB12503647,no
57,"Holy Ghost","The Neighbourhood",125,11A,66,2026-08-14,04:29,53,"","(((((ultraSOUND)))))+",2026-02-20,57,17,57,25,0,10,-7,F#/G♭ Minor,4,1tO4IxH5uX1ZJ8lm0C5NcX,USWB12503650,no
58,"Zombie","The Neighbourhood",138,7B,88,2026-08-14,03:13,52,"","(((((ultraSOUND)))))+",2026-02-20,62,0,2,57,0,10,-5,F Major,4,6kzFnJKZz3Yo9krG0Tqhd4,USWB12503654,no
59,"Dissolve","Absofacto,NITESHIFT",85,11A,58,2026-08-14,03:44,60,"","Cocoon",2024-07-19,69,23,0,87,0,0,-11,F#/G♭ Minor,4,4gC3PmUCFHX1DxuKBpSAfc,USAT21704522,no
60,"Basic Instinct","The Acid",118,9B,47,2026-08-14,04:49,40,"","Liminal",2014-07-15,74,55,28,33,0,10,-9,G Major,4,5E0pS3sXgWdQZMKChqYXHE,GBZUZ1300215,no
61,"Word Of Mouth","Allan Rayman",120,4B,51,2026-08-14,03:01,52,"","Courtney",2017-11-10,82,20,0,36,10,10,-9,G#/A♭ Major,4,0R1dGEU2fIdDENPwpMqAFA,CAUM71700191,no
62,"13","Allan Rayman",156,8B,53,2026-08-14,04:02,52,"","Roadhouse 01",2017-02-24,62,6,7,63,10,30,-9,C Major,3,4pr2A1vgqaGJ1yj6hFr3aE,CAUM71600262,no
63,"Opening Night","Arctic Monkeys,War Child Records",123,8B,46,2026-08-14,04:19,66,"indie, garage rock, ","Opening Night",2026-01-22,77,38,0,60,0,0,-10,C Major,4,7HXzuAd8UNJj2yCAS0NWbB,GBAZP2500234,no
64,"Beggin For Thread","BANKS",108,4A,70,2026-08-14,04:09,61,"","Goddess (Deluxe)",2014-01-01,60,0,7,40,0,20,-6,F Minor,4,4PvD06Pmbm2rHG2JjSlElF,USUM71405259,no
65,"Fall Over","BANKS",130,3A,86,2026-08-14,03:29,31,"","Goddess (Deluxe)",2014-01-01,65,1,68,63,0,20,-5,A#/B♭ Minor,4,6QeIxGSHZPrHZxJOgYct9V,USUM71405284,no
66,"Burn It Down","Daughter",98,12A,73,2026-08-14,03:11,0,"","Music From Before The Storm",2017-09-01,46,12,10,21,0,40,-8,C♯/D♭ Minor,4,3gtL2E6j0vJb1LLtkphfMm,GBAFL1700300,no
67,"Witches","Daughter",131,8A,39,2026-08-14,03:06,0,"","Music From Before The Storm",2017-09-01,43,7,97,8,0,10,-12,A Minor,4,6JR4oAmtvyMyitscEqJet2,GBAFL1700295,no
68,"Fossa","Daughter",176,9B,81,2026-08-14,06:46,0,"","Not To Disappear",2016-01-15,16,43,94,13,10,10,-7,G Major,4,0WXqirpUQC71A7BpoHBd20,GBAFL1500142,no
69,"New Ways","Daughter",114,10B,51,2026-08-14,05:25,0,"","Not To Disappear",2016-01-15,45,36,65,15,0,50,-7,D Major,4,6SIwsg4DZx79ECsFgl6Xje,GBAFL1500134,no
70,"Numbers","Daughter",130,11A,76,2026-08-14,04:16,0,"","Not To Disappear",2016-01-15,27,61,62,26,0,10,-9,F#/G♭ Minor,4,05jFhbrKpgEOURy9gkWRTa,GBAFL1500135,no
71,"Dandelion","Daughter",158,10A,63,2026-08-14,03:51,33,"","Stereo Mind Game",2023-04-07,55,6,34,60,0,0,-9,B Minor,4,0FaTDETtzCRxYIf3noMnsF,GBAFL2200158,no
72,"Party","Daughter",100,4B,60,2026-08-14,04:27,32,"","Stereo Mind Game",2023-04-07,74,20,91,77,0,0,-8,G#/A♭ Major,4,2tLLgIhHr3AFv0etCbjth2,GBAFL2200157,no
73,"Downstairs","Matt Maeson",137,2B,49,2026-08-14,03:36,59,"","A Quiet and Harmless Living",2025-09-12,65,22,0,25,0,10,-8,F#/G♭ Major,4,5NOKqfyuSU3e1sqvildQmM,USAT22504166,yes
74,"Cursive (feat. Manchester Orchestra)","Matt Maeson,Manchester Orchestra",142,10B,52,2026-08-14,03:47,52,"","A Quiet and Harmless Living",2025-09-12,55,35,0,31,0,10,-8,D Major,3,2RJnW5OLYkMUcxn9Hv8XIg,USAT22504336,no
75,"Split Personality Blues","Matt Maeson",129,8A,52,2026-08-14,03:55,43,"","A Quiet and Harmless Living",2025-09-12,29,59,0,17,0,10,-7,A Minor,3,4nI1De11kRgTRO0GGsnrVe,USAT22504339,yes
76,"Halfway To Whole","Matt Maeson",79,11B,27,2026-08-14,04:00,49,"","A Quiet and Harmless Living",2025-09-12,32,67,0,17,0,10,-9,A Major,4,56cbfdfhxP3wfUmdjeD6jY,USAT22504338,yes
77,"False Confidence","Noah Kahan",109,2B,66,2026-08-14,03:43,76,"","Busyhead",2019-06-14,41,16,0,33,0,10,-8,F#/G♭ Major,4,7nDFTHHwfe32a8qdp9XqPy,USUM71814497,yes
78,"First Class","Rainbow Kitten Surprise",90,3B,34,2026-08-14,05:43,68,"","Seven + Mary",2013-11-13,55,58,0,22,0,0,-10,C♯/D♭ Major,4,0uQxV7ysuBPhbfUkW1WOCp,TCABT1491600,yes
79,"Missed Connection","The Head And The Heart",88,8B,79,2026-08-14,03:15,55,"indie folk, folk pop, folk","Living Mirage",2019-05-17,67,1,0,54,0,30,-5,C Major,4,4R9KztunyNTH13KtAqePLp,USRE11900111,no
80,"It Was A Sin","The Revivalists",156,9B,60,2026-08-14,04:54,64,"","Men Amongst Mountains",2015-07-15,43,36,0,13,0,10,-7,G Major,4,2JRkfugsvOPvTLmd0dVppc,USWU31500064,no
81,"Suit and Jacket","Judah & the Lion",164,6B,58,2026-08-14,03:42,57,"folk pop, christian folk","Folk Hop n' Roll (Deluxe)",2016-03-04,45,22,0,11,0,10,-9,A#/B♭ Major,4,3ILLqwupo1Aa6PBNXxV4ey,QMGSG1700002,no
82,"Young Blood","Noah Kahan",85,1B,46,2026-08-14,03:28,72,"","Busyhead",2019-06-14,67,39,0,35,0,10,-9,B Major,4,5ngcqrs4Xq915GUqNtNNr5,USUM71700342,no
83,"Painkillers","Rainbow Kitten Surprise",115,9B,41,2026-08-14,03:33,70,"","How to: Friend, Love, Freefall",2018-04-06,75,47,0,8,0,10,-12,G Major,4,6fc51JZVE0Yijdi6RuoLFv,USAT21800169,no
84,"Hide","Rainbow Kitten Surprise",115,12B,50,2026-08-14,03:12,58,"","How to: Friend, Love, Freefall",2018-04-06,80,7,0,49,10,10,-7,E Major,4,0hJS3EHWC4uL9sJ52ErpoN,USAT21705436,no
85,"When It Lands","Rainbow Kitten Surprise",120,4A,48,2026-08-14,04:29,64,"","How to: Friend, Love, Freefall",2018-04-06,73,44,0,37,10,10,-9,F Minor,4,16ro1is6DmDKkarlJMBbzV,USAT21800168,no
86,"Fever Pitch","Rainbow Kitten Surprise",110,4A,59,2026-08-14,02:43,55,"","How to: Friend, Love, Freefall",2018-04-06,79,38,0,29,0,10,-8,F Minor,4,5vyt44455ipNNVSYq8fYY7,USAT21705434,no
87,"It's Called: Freefall","Rainbow Kitten Surprise",98,10B,52,2026-08-14,02:32,80,"","How to: Friend, Love, Freefall",2018-04-06,74,63,0,28,0,60,-6,D Major,4,474uVhyGgK5MtY9gMcDgGl,USAT21800165,yes
